sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S001,prophylactic cefazolin for open fracture or major wounds/protocol/o#2,Prophylactic Cefazolin for Open Fracture or Major Wounds,protocol,o,o,,,
S002,routine patient care/protocol/o.•#8,Routine Patient Care,protocol,o.•,The destination hospital and mode of transport are determined by the pre-hospital provider with the highest medical level providing patient care; or as determined in accordance with Connecticut General Statutes section 19a-180d.,,,
S003,supraglottic airway - adult/pediatric/protocol/o,Supraglottic Airway - Adult/Pediatric,protocol,o,The patient has known esophageal disease.,,,
S004,pain management adult/protocol/o#10,Pain Management – Adult,protocol,o,"Acetaminophen 1 gram PO For diagnosed history of migraine and moderate to severe headache consistent with previous migraines, consider administering one of the following treatments (IV route preferred):",,,
S005,emergency incident rehabilitation/protocol/b#3,Emergency Incident Rehabilitation,protocol,b,"The location of the Rehab Area will be designated by the IC and/or the RO, and should: Be far enough from the scene to allow personnel to safely remove (and leave outside the area) SCBA and/or PPE, and remove personnel from the imminent dangers the scene presents, yet close enough to allow prompt re-entry completion Provide adequate protection from environmental conditions and exhaust fumes Be easily accessible by EMS units Be large enough to accommodate several crews For extreme heat conditions, have shaded areas, misting systems and/or fans, and an area to sit down For extreme cold and/or wet conditions, have dry, protected, heated areas, and dry clothing Be integrated with departmental system for personnel accountability, using a single entry and exit point when feasible. Sites that have been used include a nearby building, garage, or lobby; a school bus or large van; and an open, shaded area",,,
S006,childbirth & newborn care/protocol/o#26,Childbirth & Newborn Care,protocol,o,"When possible, transport newborn in child safety seat. 2.7 MAY NOT BE altered or modified without prior approval.",,,
S007,abuse and neglect of children and the elderly/protocol/•#10,Abuse and Neglect of Children and the Elderly,protocol,•,Note any potential indicator of an abusive or neglectful circumstance or environment:,,,
S008,abuse and neglect of children and the elderly/protocol/•#37,Abuse and Neglect of Children and the Elderly,protocol,•,Written reports must be submitted within 5 days of oral report.,,,
S009,new central line access/protocol/4.•,NEW Central Line Access,protocol,4.•,A standard naloxone dose,,,
S010,abuse and neglect of children and the elderly/protocol/•#35,Abuse and Neglect of Children and the Elderly,protocol,•,For further information regarding the report of Elder Abuse refer to OEMS Communications Statement 15-04. Abuse of Persons with Disabilities: Report suspected cases immediately.,,,
S011,appendix 4 covid-19 updates/protocol/o.•#26,Appendix 4:   COVID-19 Updates,protocol,o.•,Unstable or unwell appearing based on the judgement of the EMS provider,,,
S012,new central line access/protocol/5.b,NEW Central Line Access,protocol,5.b,Neonate (<28 days): Utilize a 23 or 25 g butterfly needle or a 20 or 22g catheter- over-needle device. Both can be attached to a three-way stopcock and a syringe.,,,
S013,new central line access/protocol/2.b.iv,NEW Central Line Access,protocol,2.b.iv,3. Prepare insertion site with chlorhexidine.,,,
