sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S001,T1_id_exact,14.5238,leave-behind naloxone/protocol/5,Leave-Behind Naloxone,protocol,5,"Ambulances will be supplied with naloxone leave-behind kits that are separate from the medications they use to treat patients.  1.0 Routine Patient Care  After patient transport begins, or patient refuses transport, give the patient and/ or accompanying person a naloxone administration kit, and instruct patient and/or accompanying person in its use as permitted Purpose:  An ambulance service may choose to stock its ambulance(s) with “civilian” naloxone administration kits, to be left at scenes where a potential overdose patient refuses transport. Indication:  Patient has recovered after successful treatment for a potential opioid overdose",1.0,leave-behind naloxone/protocol/5,"Ambulances will be supplied with naloxone leave-behind kits that are separate from the medications they use to treat patients. • 1.0 Routine Patient Care • After patient transport begins, or patient refuses transport, give the patient and/ or accompanying person a naloxone administration kit, and instruct patient and/or accompanying person in its use as permitted Purpose: • An ambulance service may choose to stock its ambulance(s) with “civilian” naloxone administration kits, to be left at scenes where a potential overdose patient refuses transport. Indication: • Patient has recovered after successful treatment for a potential opioid overdose",,,
S002,T1_id_exact,14.5238,behavioral emergencies adult & pediatric/protocol/14,Behavioral Emergencies – Adult & Pediatric,protocol,14,Encourage patient to cooperatively accept medication in the form of oral disintegrating tablets (ODT). Transport to the hospital for a psychiatric evaluation and treatment.,1.0,behavioral emergencies adult & pediatric/protocol/14,Encourage patient to cooperatively accept medication in the form of oral disintegrating tablets (ODT). Transport to the hospital for a psychiatric evaluation and treatment.,,,
S003,T1_id_exact,14.5238,refusal of medical care and transportation/protocol/5,Refusal of Medical Care and Transportation,protocol,5,No evidence of impaired judgment from alcohol or drug influence.,1.0,refusal of medical care and transportation/protocol/5,No evidence of impaired judgment from alcohol or drug influence.,,,
S004,T1_id_exact,14.5238,urban search and rescue usar medical specialist/protocol/170.020..5.e,Urban Search and Rescue (USAR) Medical Specialist,protocol,170.020..5.e,PULSELESSNESS (This is often a late sign.  The presence of a distal pulse does not rule out compartment syndrome),1.0,urban search and rescue usar medical specialist/protocol/170.020..5.e,PULSELESSNESS (This is often a late sign.  The presence of a distal pulse does not rule out compartment syndrome),,,
S005,T1_id_exact,14.5238,urban search and rescue usar medical specialist/protocol/170.020..4#2,Urban Search and Rescue (USAR) Medical Specialist,protocol,170.020..4,"Protect the patient from further injury as well as particulate inhalation – ear and eye protection, dust mask (particulate mask, N95 or P-100 mask, oxygen via NRB mask, etc.), helmet, heat/cold protection. Drop patient packs to the victim(s) if unable to access immediately.",1.0,urban search and rescue usar medical specialist/protocol/170.020..4#2,"Protect the patient from further injury as well as particulate inhalation – ear and eye protection, dust mask (particulate mask, N95 or P-100 mask, oxygen via NRB mask, etc.), helmet, heat/cold protection. Drop patient packs to the victim(s) if unable to access immediately.",,,
S006,T1_id_exact,14.5238,withholding and cessation of resuscitation/protocol/I.3.e,Withholding and Cessation of Resuscitation,protocol,I.3.e,"Cardiac arrest (i.e. pulselessness) documented at first EMS evaluation when such condition is the result of significant blunt or penetrating trauma and the arrest is obviously and unequivocally due to such trauma, EXCEPT in the specific case of arrest due to penetrating chest trauma and short transport time to definitive care (in which circumstance, resuscitate and transport).",1.0,withholding and cessation of resuscitation/protocol/I.3.e,"Cardiac arrest (i.e. pulselessness) documented at first EMS evaluation when such condition is the result of significant blunt or penetrating trauma and the arrest is obviously and unequivocally due to such trauma, EXCEPT in the specific case of arrest due to penetrating chest trauma and short transport time to definitive care (in which circumstance, resuscitate and transport).",,,
S007,T1_id_exact,14.5238,fire and tactical ems rehabilitation/protocol/5,Fire and Tactical EMS Rehabilitation,protocol,5,"Transport to ED or obtain refusal Physical Screening Abnormal? **Range of Resting Vital Signs** Heart Rate – 60 – 100 bpm Respiratory Rate – 12‐20 breath/min Blood Pressure ‐ >90  or <160 mmHg systolic and <100mmHg diastolic Pulse Oximetry – 95‐100% on atmospheric air Carbon Monoxide Assessment ‐ <5% COHb Temperature – 98.6 – 100.6 F Passive Cooling/Warming * If at any time the member exhibits symptoms or presents with a medical complaint, immediately move to the treatment area.* Active Cooling/Warming Release from Rehab Responder vital signs have returned to normal resting levels** Responder vital signs have not changed or still has signs/ symptoms/ complaints Responder vital signs have returned to normal resting levels** This screening process does not require PCR of the responders’ physical screening unless the responder is moved to the treatment area",1.0,fire and tactical ems rehabilitation/protocol/5,"Transport to ED or obtain refusal Physical Screening Abnormal? **Range of Resting Vital Signs** Heart Rate – 60 – 100 bpm Respiratory Rate – 12-20 breath/min Blood Pressure - >90  or <160 mmHg systolic and <100mmHg diastolic Pulse Oximetry – 95-100% on atmospheric air Carbon Monoxide Assessment - <5% COHb Temperature – 98.6 – 100.6 F Passive Cooling/Warming * If at any time the member exhibits symptoms or presents with a medical complaint, immediately move to the treatment area.* Active Cooling/Warming Release from Rehab Responder vital signs have returned to normal resting levels** Responder vital signs have not changed or still has signs/ symptoms/ complaints Responder vital signs have returned to normal resting levels** This screening process does not require PCR of the responders’ physical screening unless the responder is moved to the treatment area",,,
S008,T1_id_exact,14.5238,fire and tactical ems rehabilitation/protocol/3#2,Fire and Tactical EMS Rehabilitation,protocol,3,Rest 10‐20 minutes,1.0,fire and tactical ems rehabilitation/protocol/3#2,Rest 10-20 minutes,,,
S009,T1_id_exact,14.5238,fire and tactical ems rehabilitation/protocol/4,Fire and Tactical EMS Rehabilitation,protocol,4,Notify IC,1.0,fire and tactical ems rehabilitation/protocol/4,Notify IC,,,
S010,T1_id_exact,14.5238,fire and tactical ems rehabilitation/protocol/4#4,Fire and Tactical EMS Rehabilitation,protocol,4,Reassess vital signs and condition every 5 minutes NO Responder vital signs have returned to normal resting levels**,1.0,fire and tactical ems rehabilitation/protocol/4#4,Reassess vital signs and condition every 5 minutes NO Responder vital signs have returned to normal resting levels**,,,
